,code,product_name,countries,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,energy_100g,sugars_100g,nutrition-score-fr_100g
215793,3263852902916,Goûters secs,en:FR,d,Sugary snacks,Biscuits and cakes,1682.0,24.0,17.0
215794,3263852903012,Sablés noix de coco,en:FR,e,Sugary snacks,Biscuits and cakes,2039.0,25.7,23.0
215796,3263852903418,Sprits chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2238.0,28.5,24.0
215801,3263852904514,Le Grand petit beurre,en:FR,e,Sugary snacks,Biscuits and cakes,1892.0,22.0,21.0
215802,3263852911116,Sprits chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2206.0,26.0,23.0
215803,3263852911215,Cookies maxi pépite chocolat ,en:FR,e,Sugary snacks,Biscuits and cakes,2053.0,37.2,28.0
215804,3263852911314,Biscuits fourrés goût chocolat ,en:FR,e,Sugary snacks,Biscuits and cakes,2001.0,33.0,23.0
215805,3263852911413,Biscuits fourrés cerise,en:FR,e,Sugary snacks,Biscuits and cakes,1612.0,54.8,19.0
215806,3263852911710,Cookies maxi pépites chocolat et Amandes caramélisées,en:FR,e,Sugary snacks,Biscuits and cakes,2109.0,33.0,26.0
215807,3263852912113,Royal Biscuit Goût Chocolat,en:FR,d,Sugary snacks,Biscuits and cakes,1983.0,31.0,18.0
215808,3263852912328,Sprits,en:FR,e,Sugary snacks,Biscuits and cakes,2159.0,19.9,23.0
215809,3263852912410,Spéculoos,en:FR,e,Sugary snacks,Biscuits and cakes,2064.0,26.8,22.0
215811,3263852912618,Biscuits fourrés orange,en:FR,e,Sugary snacks,Biscuits and cakes,1610.0,55.6,19.0
215813,3263852912823,Petit beurre ,en:FR,e,Sugary snacks,Biscuits and cakes,1915.0,22.0,21.0
215814,3263852912922,Galettes au beurre,en:FR,e,Sugary snacks,Biscuits and cakes,1919.0,26.5,25.0
215815,3263852913127,12 Tartelettes à la fraise,en:FR,e,Sugary snacks,Biscuits and cakes,1828.0,32.0,21.0
215817,3263852913714,P'tit Sacripant Petits Beurre Chocolat Noir,en:FR,e,Sugary snacks,Biscuits and cakes,2076.0,38.0,21.0
215818,3263852913813,Cookies Nougatine,en:FR,e,Sugary snacks,Biscuits and cakes,2108.0,29.5,28.0
215820,3263852914094,Gaufrettes fourrées enrobées de chocolat fin,en:FR,e,Sugary snacks,Biscuits and cakes,2241.0,37.0,19.0
215821,3263852914117,Galettes Bretonnes - Pur Beurre,en:FR,e,Sugary snacks,Biscuits and cakes,2067.0,24.7,23.0
215822,3263852914216,Palets Bretons - Pur Beurre,en:FR,e,Sugary snacks,Biscuits and cakes,2168.0,26.9,26.0
215823,3263852914292,Palets breton,en:FR,e,Sugary snacks,Biscuits and cakes,2162.0,23.0,24.0
215824,3263852914315,Beurrés Bretons,en:FR,e,Sugary snacks,Biscuits and cakes,1941.0,20.0,25.0
215825,3263852914612,Paquita,en:FR,e,Sugary snacks,Biscuits and cakes,2130.0,28.0,20.0
215826,3263852914711,"P'tit Sacripant, Petits Beurre Chocolat au Lait aux Noisettes",en:FR,e,Sugary snacks,Biscuits and cakes,2068.0,40.0,26.0
215827,3263852914810,Mon Carré Choco goût chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,1968.0,32.8,25.0
215828,3263852914926,12 Biscuits chocolat au lait ,en:FR,e,Sugary snacks,Biscuits and cakes,2026.0,35.0,24.0
215829,3263852915015,Goûters fourrés chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2130.0,37.7,22.0
215830,3263852915114,Paquita,en:FR,e,Sugary snacks,Biscuits and cakes,2142.0,29.0,24.0
215832,3263852915510,Sablés aux céréales chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2127.0,28.0,26.0
215834,3263852915718,Fête Foraine,en:FR,e,Sugary snacks,Biscuits and cakes,2015.0,29.0,23.0
215835,3263852915817,Twist,en:FR,e,Sugary snacks,Biscuits and cakes,2230.0,22.0,20.0
215836,3263852915916,Galettes bretonnes pur beurre pépites de chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2114.0,31.0,21.0
215837,3263852916111,Barquettes abricot,en:FR,d,Sugary snacks,Biscuits and cakes,1493.0,51.0,13.0
215838,3263852916227,Leader Price Barquettes à la Fraise,en:FR,d,Sugary snacks,Biscuits and cakes,1493.0,51.5,14.0
215840,3263852916517,Galettes suédoises au chocolat et aux flocons d'avoine,en:FR,e,Sugary snacks,Biscuits and cakes,2114.0,40.7,27.0
215842,3263852916715,Cookies Tout Choco,en:FR,e,Sugary snacks,Biscuits and cakes,2095.0,34.5,28.0
215843,3263852916814,P'tit Sacripant Petits Beurre Chocolat au Lait,en:FR,e,Sugary snacks,Biscuits and cakes,2060.0,40.0,26.0
215844,3263852916999,Barquettes au chocolat et aux noisettes ,en:FR,d,Sugary snacks,Biscuits and cakes,2046.0,46.0,15.0
215845,3263852917019,Leader Figue,en:FR,e,Sugary snacks,Biscuits and cakes,1792.0,30.0,20.0
215846,3263852917118,Galettes suédoises au chocolat et flocons d'avoine,en:FR,e,Sugary snacks,Biscuits and cakes,2116.0,40.7,22.0
215849,3263852917613,Gaufrettes chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2180.0,33.0,19.0
215850,3263852917712,Gaufrettes fines,en:FR,e,Sugary snacks,Biscuits and cakes,2056.0,36.0,25.0
215852,3263852918313,palet graines et miel,en:FR,d,Sugary snacks,Biscuits and cakes,2094.0,28.0,17.0
215854,3263852918511,Petit beurre sablé au sel de Guérande,en:FR,e,Sugary snacks,Biscuits and cakes,2000.0,24.0,27.0
215855,3263852918719,Cookies pépites de chocolat et amandes caramélisées,en:FR,e,Sugary snacks,Biscuits and cakes,2145.0,33.2,21.0
215856,3263852918818,Cookies pépites de chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2077.0,37.2,24.0
215857,3263852919310,Royal biscuit goût tout chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,1963.0,32.0,24.0
215858,3263852919716,Galettes suédoises aux flocons d'avoine ,en:FR,e,Sugary snacks,Biscuits and cakes,2011.0,40.0,27.0
215859,3263852920415,Biscuit meringués truffés ,en:FR,e,Sugary snacks,Biscuits and cakes,2243.0,39.9,20.0
215860,3263852920514,Biscuits meringués au chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2274.0,47.6,22.0
215861,3263852920811,fondants caramel,en:FR,e,Sugary snacks,Biscuits and cakes,2117.0,36.0,22.0
215862,3263852920910,Meringues chololat,en:FR,e,Sugary snacks,Biscuits and cakes,2270.0,46.0,23.0
215863,3263852921610,Galets Bretons au beurre frais,en:FR,e,Sugary snacks,Biscuits and cakes,2226.0,24.5,24.0
215864,3263852921825,Biscuits sablés au citron et aux amandes,en:FR,d,Sugary snacks,Biscuits and cakes,2008.0,28.0,16.0
215865,3263852922112,Petit-beurre,en:FR,e,Sugary snacks,Biscuits and cakes,1904.0,20.0,21.0
215866,3263852922211,Galettes pur beurre,en:FR,e,Sugary snacks,Biscuits and cakes,2054.0,25.0,23.0
215867,3263852922310,Cookies chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2076.0,32.2,19.0
215868,3263852922419,Biscuits sésame-épeautre,en:FR,d,Sugary snacks,Biscuits and cakes,2094.0,22.0,15.0
215869,3263852922518,Sablés céréales chocolat noir Bio,en:FR,d,Sugary snacks,Biscuits and cakes,2123.0,28.0,17.0
215871,3263852922815,Tartelette framboise à la farine d'épeautre,en:FR,e,Sugary snacks,Biscuits and cakes,1855.0,38.1,19.0
215872,3263852923195,Florentins aux amandes,en:FR,e,Sugary snacks,Biscuits and cakes,2274.0,40.9,26.0
215874,3263852923317,Médaillons au coco,en:FR,e,Sugary snacks,Biscuits and cakes,2335.0,38.3,19.0
215875,3263852923690,Tartelettes à la fraise,en:FR,e,Sugary snacks,Biscuits and cakes,1723.0,29.0,19.0
215876,3263852923799,Tartelettes au Citron Pur Beurre,en:FR,e,Sugary snacks,Biscuits and cakes,1730.0,29.0,19.0
215877,3263852923898,Tartelettes chocolat noisettes,en:FR,e,Sugary snacks,Biscuits and cakes,2145.0,34.0,21.0
215878,3263852924017,Boudoirs aux œufs frais,en:FR,d,Sugary snacks,Biscuits and cakes,1646.0,51.0,12.0
215879,3263852924116,Biscuits sablés à la noix de coco Leader Price,en:FR,e,Sugary snacks,Biscuits and cakes,2206.0,28.5,22.0
215881,3263852924819,P'tit Sacripant ,en:FR,e,Sugary snacks,Biscuits and cakes,2090.0,41.0,28.0
215882,3263852925014,Royal Biscuit Goût Vanille,en:FR,e,Sugary snacks,Biscuits and cakes,2040.0,32.0,25.0
215884,3263852925311,Bio biscuits tablette chocolat au lait,en:FR,e,Sugary snacks,Biscuits and cakes,2189.0,35.0,22.0
215885,3263852925410,Cookies Noix de Coco pépites de chocolat (12 biscuits),en:FR,d,Sugary snacks,Biscuits and cakes,2118.0,31.0,18.0
215886,3263852925519,Goûters fourrés au cacao,en:FR,d,Sugary snacks,Biscuits and cakes,1989.0,28.0,12.0
215887,3263852925922,Biscuits Cacao fourrés parfum vanille,en:FR,e,Sugary snacks,Biscuits and cakes,2066.0,33.7,25.0
215888,3263852926318,sablés amande citron bio,en:FR,e,Sugary snacks,Biscuits and cakes,2022.0,24.9,24.0
215890,3263852926516,Sablés éclats au caramel au beurre salé,en:FR,e,Sugary snacks,Biscuits and cakes,2114.0,29.5,25.0
215891,3263852926714,Shortbread recette écossaise,en:FR,e,Sugary snacks,Biscuits and cakes,2197.0,20.0,22.0
215892,3263852927018,Sablés au café,en:FR,e,Sugary snacks,Biscuits and cakes,2151.0,31.0,26.0
215893,3263852927216,Tartelettes Framboise & chocolat noir,en:FR,e,Sugary snacks,Biscuits and cakes,1925.0,38.1,19.0
215896,3263852927513,Sablés au Chocolat au Lait Bio,en:FR,e,Sugary snacks,Biscuits and cakes,2075.0,26.0,23.0
215898,3263852927810,Bretzel aux cristaux de sucre,en:FR,e,Sugary snacks,Biscuits and cakes,2058.0,33.7,25.0
215899,3263852927919,Stick cannelle,en:FR,e,Sugary snacks,Biscuits and cakes,1969.0,32.3,24.0
215900,3263852950917,Biscuits Fourrés Aux Figues Et Pruneaux (fine Ligne),en:FR,d,Sugary snacks,Biscuits and cakes,1494.0,51.5,13.0
215901,3263852951518,Biscuits Croquants goût Chocolat,en:FR,d,Sugary snacks,Biscuits and cakes,1840.0,30.0,17.0
215902,3263852951617,Fine Ligne Gourmandises Fruits Rouges,en:FR,d,Sugary snacks,Biscuits and cakes,1538.0,49.8,13.0
215904,3263852978119,"Chocolat noir - amandes, noisettes et cranberries",en:FR,e,Sugary snacks,Chocolate products,2250.0,36.4,24.0
216021,3263853490221,Sucre en poudre,en:FR,d,Sugary snacks,Sweets,1700.0,100.0,15.0
216023,3263853524612,Pain d'épices Figues & Raisins,en:FR,c,Sugary snacks,Biscuits and cakes,1358.0,40.3,9.0
216037,3263855090047,Nectar Multifruits Tropical,en:FR,e,Beverages,Fruit nectars,215.0,11.6,14.0
216043,3263855090412,Pur jus d'orange Cuba Brésil,en:FR,c,Beverages,Fruit juices,185.0,7.7,3.0
216044,3263855090436,Nectar d'Orange Banane,en:FR,e,Beverages,Fruit nectars,223.0,13.0,15.0
216045,3263855090443,Nectar 5 agrumes,en:FR,e,Beverages,Fruit nectars,187.0,11.0,15.0
216046,3263855090450,Nectar d'Orange Pêche-Abricot,en:FR,e,Beverages,Fruit nectars,204.0,11.0,13.0
216050,3263855090627,Jus d'ananas à base de concentré ,en:FR,d,Beverages,Fruit juices,213.0,11.5,6.0
216051,3263855090634,Jus de pamplemousse,en:FR,c,Beverages,Fruit juices,176.0,8.0,2.0
216052,3263855090849,Boisson rafraichissante goût fruité,en:FR,e,Beverages,Sweetened beverages,143.0,8.4,11.0
216053,3263855090900,100 % pur jus de pamplemousse vert,en:FR,c,Beverages,Fruit juices,208.0,9.8,4.0
216054,3263855090917,Nectar multifruits,en:FR,d,Beverages,Fruit nectars,95.0,5.0,8.0
216058,3263855091136,100% pur jus Raisin bio,en:FR,e,Beverages,Fruit juices,289.0,15.0,10.0
216059,3263855091181,Jus de pomme 100% Pur Jus,en:FR,c,Beverages,Fruit juices,179.0,10.2,3.0
216060,3263855091198,Jus de pomme à base de concentré,en:FR,c,Beverages,Fruit juices,168.0,9.5,3.0
216061,3263855091211,"Jus de pamplemousse, 100% pur jus",en:FR,b,Beverages,Fruit juices,157.0,7.0,1.0
216062,3263855091228,100 % jus d'orange,en:FR,c,Beverages,Fruit juices,167.0,8.6,2.0
216064,3263855091310,Sirop de fraise,en:FR,e,Beverages,Sweetened beverages,1438.0,84.0,20.0
216065,3263855091327,Sirop de cassis,en:FR,e,Beverages,Sweetened beverages,1437.0,84.5,20.0
216068,3263855091433,Cocktail multivitaminé,en:FR,c,Beverages,Fruit juices,203.0,9.8,4.0
216069,3263855091532,Sirop framboise violette,en:FR,e,Beverages,Sweetened beverages,1363.0,79.0,20.0
216070,3263855091617,Nectar Pêche-Poire,en:FR,e,Beverages,Fruit nectars,187.0,11.0,15.0
216071,3263855091655,Cola,en:FR,d,Beverages,Sweetened beverages,109.0,6.5,9.0
216072,3263855091693,Cocktail multivitaminé A.C.E,en:FR,c,Beverages,Fruit juices,188.0,9.8,4.0
216075,3263855091877,Sirop grenadine,en:FR,e,Beverages,Sweetened beverages,1042.0,61.0,20.0
216076,3263855091891,100% pur jus Mandarine Orange Sanguine,en:FR,c,Beverages,Fruit juices,197.0,11.0,5.0
216077,3263855091914,Jus multifruits,en:FR,c,Beverages,Fruit juices,204.0,11.0,5.0
216083,3263855092119,100% Pur Jus Pomme,en:FR,c,Beverages,Fruit juices,187.0,10.0,4.0
216084,3263855092133,100% pur jus d'orange,en:FR,c,Beverages,Fruit juices,196.0,10.0,4.0
216086,3263855092270,Cocktail 12 fruits multivitaminé,en:FR,c,Beverages,Fruit juices,167.0,10.0,3.0
216089,3263855092409,Jus de pomme à base de concentré,en:FR,c,Beverages,Fruit juices,171.0,9.5,3.0
216090,3263855092416,100 % Pur jus de raisin,en:FR,d,Beverages,Fruit juices,265.0,15.0,9.0
216092,3263855092522,Nectar de Mangue,en:FR,e,Beverages,Fruit nectars,190.0,9.9,14.0
216093,3263855092539,Nectar fraise,en:FR,e,Beverages,Fruit nectars,187.0,9.7,14.0
216094,3263855092546,Boisson aux jus Kiwi - Pommes Leader Price,en:FR,e,Beverages,Sweetened beverages,196.0,10.3,12.0
216095,3263855092553,Nectar abricot,en:FR,e,Beverages,Fruit nectars,204.0,10.6,15.0
216099,3263855092720,Nectar banane,en:FR,e,Beverages,Fruit nectars,188.0,9.8,14.0
216100,3263855092829,Thé glacé Saveur Pêche,en:FR,d,Beverages,Sweetened beverages,111.0,5.7,8.0
216101,3263855092935,Petit Déj' Orange,en:FR,c,Beverages,Fruit juices,182.0,9.0,3.0
216102,3263855092942,100 % pur jus Ananas,en:FR,c,Beverages,Fruit juices,182.0,9.8,5.0
216104,3263855093093,Jus d'orange à base de concentré,en:FR,c,Beverages,Fruit juices,185.0,9.3,4.0
216105,3263855093109,Pur jus de clémentine,en:FR,c,Beverages,Fruit juices,196.0,10.5,4.0
216106,3263855093147,Pur jus d'orange et de clémentine,en:FR,c,Beverages,Fruit juices,201.0,9.5,4.0
216111,3263855093246,thé pêche à l eau de source 33cl,en:FR,d,Beverages,Sweetened beverages,97.0,5.5,8.0
216116,3263855093383,Fraise framboise à l'eau de source,en:FR,e,Beverages,Sweetened beverages,158.0,8.4,12.0
216117,3263855093420,bio jus pruneaux,en:FR,d,Beverages,Fruit juices,320.0,13.0,7.0
216118,3263855093475,Nectar Pomme à base de concentré,en:FR,d,Beverages,Fruit nectars,151.0,7.5,9.0
216127,3263855093826,Pomme Cassis à l'eau de source,en:FR,e,Beverages,Sweetened beverages,173.0,8.8,13.0
216128,3263855093864,Thé vert Saveur Menthe,en:FR,d,Beverages,Sweetened beverages,97.0,5.2,8.0
216129,3263855093956,Orange acérola source de fibres,en:FR,c,Beverages,Fruit juices,166.0,8.3,2.0
216130,3263855093963,Multifruits source de fibres,en:FR,c,Beverages,Fruit juices,202.0,10.5,3.0
216137,3263855094229,100 % Pur jus Orange,en:FR,c,Beverages,Fruit juices,180.0,9.5,3.0
216140,3263855094410,100% Pur Jus Multifruits,en:FR,c,Beverages,Fruit juices,179.0,9.7,3.0
216141,3263855094434,Citronnade à l'eau de source,en:FR,d,Beverages,Sweetened beverages,117.0,6.2,9.0
216144,3263855094526,Pur jus d'orange ,en:FR,c,Beverages,Fruit juices,180.0,9.4,3.0
216152,3263855094960,Limonade traditionnelle,en:FR,e,Beverages,Sweetened beverages,136.0,8.0,11.0
216153,3263855095004,bio jus multifruits,en:FR,c,Beverages,Fruit juices,180.0,10.0,3.0
216154,3263855095066,Nectar goyave,en:FR,e,Beverages,Fruit nectars,185.0,9.7,14.0
216159,3263855095189,nectar poire,en:FR,d,Beverages,Fruit juices,221.0,11.5,6.0
216160,3263855095202,Nectar De Pruneau,en:FR,e,Beverages,Fruit nectars,310.0,18.0,19.0
216161,3263855095219,100 % pur jus orange origine Méditerranée,en:FR,c,Beverages,Fruit juices,180.0,9.3,3.0
216164,3263855095264,Pur jus orange sans pulpe,en:FR,c,Beverages,Fruit juices,164.0,9.0,2.0
216165,3263855095271,Pur Jus multifruits,en:FR,c,Beverages,Fruit juices,213.0,10.2,5.0
216166,3263855095288,Pur jus Ananas,en:FR,c,Beverages,Fruit juices,206.0,10.1,5.0
216167,3263855095295,Pur jus pamplemousse blanc,en:FR,b,Beverages,Fruit juices,164.0,7.3,1.0
216168,3263855095301,Pur Jus de pomme,en:FR,c,Beverages,Fruit juices,209.0,10.0,4.0
216172,3263855095400,Pur Jus de Pommes,en:FR,c,Beverages,Fruit juices,192.0,10.0,4.0
216173,3263855095523,Pur jus orange,en:FR,c,Beverages,Fruit juices,203.0,9.0,3.0
216175,3263855095608,Jus D'orange 100% Pur Jus,en:FR,c,Beverages,Fruit juices,192.0,10.0,4.0
216176,3263855095615,100% Pur Jus Pomme Bio,en:FR,c,Beverages,Fruit juices,184.0,10.0,4.0
216177,3263855095622,Multifruits Bio 100% Pur Jus,en:FR,c,Beverages,Fruit juices,180.0,10.0,3.0
216178,3263855095813,Nectar de pomme,en:FR,e,Beverages,Fruit nectars,138.0,7.2,10.0
216183,3263855095936,Sirop de fraise,en:FR,e,Beverages,Sweetened beverages,1343.0,77.0,20.0
216184,3263855095950,Sirop de grenadine,en:FR,e,Beverages,Sweetened beverages,1377.0,80.0,20.0
216185,3263855095974,Sirop de thé pêche,en:FR,e,Beverages,Sweetened beverages,1224.0,70.0,20.0
216186,3263855095998,Sirop de Menthe,en:FR,e,Beverages,Sweetened beverages,1210.0,71.1,20.0
216189,3263855096131,Boisson lactée au cacao,en:FR,e,Beverages,Sweetened beverages,297.0,10.8,18.0
216192,3263855096339,Cola Stevia,en:FR,d,Beverages,Sweetened beverages,111.0,6.5,9.0
216193,3263855096346,Limonade Bio,en:FR,e,Beverages,Sweetened beverages,142.0,8.5,11.0
216195,3263855096360,Pur jus raisin,en:FR,d,Beverages,Fruit juices,259.0,15.0,9.0
216196,3263855096377,100% Pur Jus Orange sans pulpe,en:FR,c,Beverages,Fruit juices,176.0,10.0,3.0
216199,3263855573311,Chocolats fraîcheur lait,en:FR,e,Sugary snacks,Sweets,2808.0,35.0,25.0
216244,3263856480519,100% Pur Jus de Pommes,en:FR,c,Beverages,Fruit juices,170.0,9.7,3.0
216248,3263856481110,100% Pur Jus d'Orange,en:FR,c,Beverages,Fruit juices,172.0,8.7,2.0
216305,3263856690819,6 Cônes chocolat pistache,en:FR,d,Milk and dairy products,Ice cream,1085.0,28.4,17.0
216307,3263856691212,6 cônes saveur spéculoos,en:FR,d,Milk and dairy products,Ice cream,1116.0,28.0,18.0
216324,3263856750810,Xtra Savoureux Chocolat & Pâte de Cacahuète,en:FR,e,Milk and dairy products,Ice cream,1625.0,23.5,19.0
216341,3263857067214,Jus d'orange à base de concentré ,en:FR,c,Beverages,Fruit juices,205.0,9.0,3.0
216343,3263857097716,Petit Dej Orange Ananas Mangue,en:FR,c,Beverages,Fruit juices,201.0,10.2,4.0
216344,3263857097815,petit Dèj',en:FR,c,Beverages,Fruit juices,197.0,9.9,4.0
216346,3263857105312,Pur jus d'orange,en:FR,c,Beverages,Fruit juices,194.0,9.0,3.0
216348,3263857142812,Cola léger en sucre,en:FR,d,Beverages,Sweetened beverages,96.0,5.6,8.0
216350,3263857148616,Tonic,en:FR,e,Beverages,Sweetened beverages,134.0,7.9,11.0
216351,3263857160113,Limonade,en:FR,c,Beverages,Sweetened beverages,3.0,0.2,2.0
216352,3263857160915,Kids diabolo grenadine,en:FR,e,Beverages,Sweetened beverages,155.0,9.1,13.0
216353,3263857162018,Kids diabolo menthe,en:FR,e,Beverages,Sweetened beverages,155.0,9.1,13.0
216354,3263857281313,Jus De Pomme 100%,en:FR,c,Beverages,Fruit juices,159.0,8.5,2.0
216355,3263857281412,100% pur jus pamplemousse,en:FR,c,Beverages,Fruit juices,163.0,8.5,2.0
216358,3263857282013,Nectar Goyave,en:FR,e,Beverages,Fruit nectars,187.0,11.0,15.0
216371,3263857999997,Pur jus d'orange,en:FR,c,Beverages,Fruit juices,192.0,9.0,3.0
216388,3263858056514,Chocolate fudge cake à partager,en:FR,e,Sugary snacks,Biscuits and cakes,1736.0,37.0,19.0
216397,3263858320912,Douceur de crème chocolat au lait ,en:FR,d,Milk and dairy products,Dairy desserts,852.0,20.2,12.0
216408,3263858404810,Tarte Framboises pâte sablée pur beurre,en:FR,c,Sugary snacks,Biscuits and cakes,1017.0,21.6,7.0
216410,3263858408115,"Crème Glacée Caramel, Sauce Caramel Beurre Salé et Éclats de Caramel",en:FR,d,Milk and dairy products,Ice cream,909.0,21.5,12.0
216411,3263858408214,"Crème Glacée Chocolat, Sauce Chocolat et Éclats de Chocolat",en:FR,c,Milk and dairy products,Ice cream,971.0,24.9,10.0
216413,3263858408412,Crème Glacée Yaourt Fruits Rouges,en:FR,d,Milk and dairy products,Ice cream,745.0,24.4,11.0
216415,3263858408610,Sorbet Plein Fruit Framboise,en:FR,c,Milk and dairy products,Ice cream,480.0,25.7,6.0
216416,3263858408719,"Crème Glacée Chocolat Noir, Sauce Chocolat et Morceaux de Banane",en:FR,c,Milk and dairy products,Ice cream,823.0,19.9,9.0
216417,3263858408818,Crème Glacée Caramel Sauce Caramel Beurre Salé et Éclats de Noisettes Caramélisées,en:FR,d,Milk and dairy products,Ice cream,841.0,21.5,11.0
216418,3263858408917,Crème Glacée à la Pâte à Tartiner avec Morceaux de Biscuit,en:FR,c,Milk and dairy products,Ice cream,864.0,20.6,6.0
216423,3263858527410,Oeufs pralinés noir,en:FR,e,Sugary snacks,Chocolate products,2585.0,35.6,19.0
216459,3263858668311,Crème dessert saveur praliné,en:FR,c,Milk and dairy products,Dairy desserts,435.0,13.4,4.0
216462,3263858668618,Liégeois duo saveur vanille,en:FR,c,Milk and dairy products,Dairy desserts,546.0,14.9,6.0
216463,3263858668816,Tiramisu à la framboise,en:FR,d,Milk and dairy products,Dairy desserts,1163.0,32.6,17.0
216537,3263859284015,Cola,en:FR,e,Beverages,Sweetened beverages,124.0,7.3,10.0
216538,3263859284114,Soda Orange,en:FR,e,Beverages,Sweetened beverages,160.0,9.4,13.0
217014,3263859640217,Créme dessert chocolat,en:FR,c,Milk and dairy products,Dairy desserts,496.0,15.3,5.0
217015,3263859640415,Crème dessert Chocolat extra Noir,en:FR,c,Milk and dairy products,Dairy desserts,502.0,13.0,3.0
217016,3263859640712,Créme dessert saveur pistache,en:FR,c,Milk and dairy products,Dairy desserts,453.0,14.8,4.0
217017,3263859641115,Ile flottante aux oeufs frais,en:FR,c,Milk and dairy products,Dairy desserts,583.0,20.0,5.0
217021,3263859645113,Crème dessert saveur chocolat,en:FR,c,Milk and dairy products,Dairy desserts,414.0,15.0,4.0
217023,3263859645311,Crème onctueuse Spéculoos,en:FR,d,Milk and dairy products,Dairy desserts,835.0,17.8,11.0
217024,3263859645410,Crème Onctueuse café,en:FR,d,Milk and dairy products,Dairy desserts,790.0,17.8,12.0
217030,3263859660116,Flan caramel (12 pots),en:FR,c,Milk and dairy products,Dairy desserts,355.0,16.0,4.0
217031,3263859660314,Flans goût vanille nappés caramel Kids Leader Price,en:FR,c,Milk and dairy products,Dairy desserts,484.0,16.0,4.0
217032,3263859661113,Panna cotta sur lit de fruits rouges,en:FR,c,Milk and dairy products,Dairy desserts,674.0,16.0,9.0
217036,3263859663018,Duo de Crème saveur pistache chocolat,en:FR,c,Milk and dairy products,Dairy desserts,590.0,18.0,4.0
217037,3263859663117,Duo de Crème saveur vanille chocolat,en:FR,c,Milk and dairy products,Dairy desserts,634.0,18.4,7.0
217040,3263859677510,Cheesecake au citron,en:FR,d,Sugary snacks,Biscuits and cakes,927.0,24.9,13.0
217043,3263859680213,Mousse au chocolat noir ,en:FR,c,Milk and dairy products,Dairy desserts,635.0,21.1,3.0
217044,3263859680312,Mousse au chocolat au lait Leader Price,en:FR,c,Milk and dairy products,Dairy desserts,767.0,20.4,9.0
217045,3263859680510,Mousse aux marrons,en:FR,d,Milk and dairy products,Dairy desserts,788.0,25.4,11.0
217048,3263859690717,Gateau semoule aux raisins,en:FR,c,Sugary snacks,Biscuits and cakes,599.0,18.0,3.0
217049,3263859690816,Crème caramel aux œufs extra-frais,en:FR,c,Milk and dairy products,Dairy desserts,552.0,18.0,3.0
217051,3263859691011,Tiramisu italien,en:FR,d,Milk and dairy products,Dairy desserts,1149.0,19.3,15.0
217054,32638596918202,Semoule au lait nature,en:FR,c,Milk and dairy products,Dairy desserts,466.0,11.0,3.0
217058,3263859692315,Petits pots à la crème cuits au four café,en:FR,c,Milk and dairy products,Dairy desserts,598.0,17.0,4.0
217060,3263859692711,Petits pots de crème cuits au four Coco Leader Price,en:FR,d,Milk and dairy products,Dairy desserts,772.0,19.0,11.0
217061,3263859692919,Clafoutis aux cerises,en:FR,c,Sugary snacks,Biscuits and cakes,825.0,21.0,3.0
217064,3263859700119,"Le petit Suisse, nature (10 % MG)",en:FR,b,Milk and dairy products,Dairy desserts,596.0,3.2,2.0
217069,3263859710415,Fromage frais nature bio,en:FR,a,Milk and dairy products,Dairy desserts,341.0,2.3,0.0
217079,3263859720414,Jus d'Orange 100% pur jus,en:FR,c,Beverages,Fruit juices,193.0,8.9,3.0
217080,3263859720513,Jus d'Orange & Fraise,en:FR,c,Beverages,Fruit juices,176.0,8.1,2.0
217081,3263859720612,jus de pomme et de grenade,en:FR,c,Beverages,Fruit juices,204.0,12.0,5.0
217082,3263859720711,Pur Jus 3 Agrumes,en:FR,c,Beverages,Fruit juices,177.0,8.5,2.0
217083,3263859721114,Pur jus de raisin bio,en:FR,e,Beverages,Fruit juices,306.0,15.0,10.0
217085,3263859721619,Jus de pomme trouble,en:FR,d,Beverages,Fruit juices,221.0,13.0,7.0
217086,3263859721718,Pur jus d'orange sanguine de Sicile avec pulpe,en:FR,c,Beverages,Fruit juices,201.0,10.0,4.0
217087,3263859721817,Pur jus d'orange de Floride avec pulpe,en:FR,c,Beverages,Fruit juices,187.0,9.0,3.0
217088,3263859721916,Pur jus de pamplemousse rose avec pulpe,en:FR,c,Beverages,Fruit juices,170.0,8.0,2.0
217089,3263859722319,Pur jus d'Orange sans pulpe,en:FR,c,Beverages,Fruit juices,191.0,9.0,3.0
217091,3263859724917,Gâteau au fromage blanc saveur vanille,en:FR,c,Sugary snacks,Biscuits and cakes,708.0,21.0,3.0
217096,3263859728618,100 % pur jus orange,en:FR,c,Beverages,Fruit juices,200.0,9.3,4.0
217098,3263859728816,"100 % pur jus pomme, poire, framboise",en:FR,c,Beverages,Fruit juices,180.0,9.3,3.0
