,code,product_name,countries,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,energy_100g,sugars_100g,nutrition-score-fr_100g
204049,3245412980152,Chocolat noir aux écorces d'orange confites ,en:FR,e,Sugary snacks,Chocolate products,2256.0,41.0,20.0
204062,3245412999925,Jus de raisin,en:FR,e,Beverages,Fruit juices,297.0,16.0,10.0
204075,3245413154255,Sablés chocolat lait,en:FR,e,Sugary snacks,Biscuits and cakes,2079.0,29.0,22.0
204079,3245413166142,Stick & Choc Chocolat blanc,en:FR,e,Sugary snacks,Biscuits and cakes,2195.0,38.0,24.0
204080,3245413187888,Assortiment de chocolats,en:FR,e,Sugary snacks,Chocolate products,2270.0,51.0,22.0
204081,3245413200198,Le Petit Beurre Tablette - Chocolat Blanc,en:FR,e,Sugary snacks,Biscuits and cakes,2084.0,41.0,26.0
204088,3245413296375,Croquants goût chocolat Stylesse,en:FR,d,Sugary snacks,Biscuits and cakes,1804.0,33.0,16.0
204115,3245413495457,Escargots Noirs fourrage au praliné,en:FR,e,Sugary snacks,Sweets,2263.0,49.0,21.0
204122,3245413527134,Coeur fondant chocolat noir,en:FR,d,Sugary snacks,Biscuits and cakes,1446.0,30.0,15.0
204123,3245413531605,Barres de régime saveur chocolat blanc enrobées de chocolat au lait Carrefour,en:FR,e,Sugary snacks,Biscuits and cakes,1752.0,43.0,23.0
204124,3245413531681,Barres de régime saveur noix de coco enrobées de chocolat au lait Carrefour,en:FR,e,Sugary snacks,Biscuits and cakes,1727.0,37.0,20.0
204131,3245413553300,Galette des rois à la frangipane,en:FR,d,Sugary snacks,Biscuits and cakes,1878.0,10.0,18.0
204137,3245413575579,Bûche pâtissière saveur café,en:FR,e,Sugary snacks,Biscuits and cakes,1539.0,37.0,21.0
204138,3245413579225,Bûche pâtissière chocolat noir,en:FR,e,Sugary snacks,Biscuits and cakes,1535.0,38.0,19.0
204146,3245413693365,Postre de soja Chocolate,en:FR,a,Sugary snacks,Chocolate products,464.0,15.8,0.0
204171,3245413812254,"LIÉGEOIS à la Crème fraiche, 4 Chocolat, 4 Café",en:FR,c,Milk and dairy products,Dairy desserts,566.0,16.0,6.0
204172,3245413812261,Liégeois à la Crème fraîche Café,en:FR,c,Milk and dairy products,Dairy desserts,538.0,15.0,6.0
204173,3245413812292,Liégeois à la Crème fraîche Chocolat (x 4),en:FR,c,Milk and dairy products,Dairy desserts,566.0,15.6,6.0
204174,3245413812322,Liégeois saveur vanille,en:FR,c,Milk and dairy products,Dairy desserts,629.0,19.0,8.0
204192,3245413843937,Crème aux œufs - Saveur vanille,en:FR,c,Milk and dairy products,Dairy desserts,648.0,16.0,5.0
204193,3245413847737,Marbrés au chocolat,en:FR,d,Sugary snacks,Biscuits and cakes,1818.0,25.0,14.0
204199,3245413852601,Jus d'Ananas,en:FR,c,Beverages,Fruit juices,202.0,11.0,5.0
204211,3245413922465,"Biscuits 4 céréales, pépites de chocolat",en:FR,d,Sugary snacks,Biscuits and cakes,1859.0,20.0,11.0
204249,3245414096455,Galettes bretonnes aux pépites de chocolat,en:FR,e,Sugary snacks,Biscuits and cakes,2103.0,31.0,21.0
204252,3245414104730,Biscuits vitalité Soja Orange,en:FR,c,Sugary snacks,Biscuits and cakes,1895.0,23.0,10.0
204267,3245414146440,Sablé à la figue,en:FR,c,Sugary snacks,Biscuits and cakes,1587.0,40.0,10.0
204277,3245414174221,Madeleines longues,en:FR,d,Sugary snacks,Biscuits and cakes,1957.0,29.0,15.0
204278,3245414174238,Madeleines longues aux oeufs frais,en:FR,d,Sugary snacks,Biscuits and cakes,1957.0,29.0,16.0
204280,3245414187016,Palmiers finement feuilletés et dorés,en:FR,e,Sugary snacks,Biscuits and cakes,2242.0,20.0,22.0
204297,3245414238244,Palets bretons,en:FR,e,Sugary snacks,Biscuits and cakes,2274.0,26.0,23.0
204298,3245414238251,Palets Carrefour lot de 2x125g,en:FR,e,Sugary snacks,Biscuits and cakes,2274.0,26.0,23.0
204300,3245414248199,Goûters dorés pocket Carrefour,en:FR,e,Sugary snacks,Chocolate products,2154.0,35.0,21.0
204308,3245414263048,Biscuits petit déjeuner Miel & Pépites de Chocolat,en:FR,d,Sugary snacks,Biscuits and cakes,1908.0,26.0,15.0
204310,3245414302174,Mini roulés fraise,en:FR,d,Sugary snacks,Biscuits and cakes,1354.0,43.0,13.0
204339,3245414637696,Tiramisu,en:FR,c,Milk and dairy products,Dairy desserts,941.0,21.0,10.0
204342,3245414640412,Crème dessert Saveur Vanille,en:FR,c,Milk and dairy products,Dairy desserts,401.0,15.0,3.0
